transcript_id	m_GR_in_01d_1.isoforms.results	m_GR_in_01d_2.isoforms.results	m_GR_in_01d_3.isoforms.results	m_GR_un_01d_1.isoforms.results	m_GR_un_01d_2.isoforms.results	m_GR_un_01d_3.isoforms.results	m_GR_in_02d_1.isoforms.results	m_GR_in_02d_2.isoforms.results	m_GR_in_02d_3.isoforms.results	m_GR_un_02d_1.isoforms.results	m_GR_un_02d_2.isoforms.results	m_GR_un_02d_3.isoforms.results	m_GR_in_04d_1.isoforms.results	m_GR_in_04d_2.isoforms.results	m_GR_in_04d_3.isoforms.results	m_GR_un_04d_1.isoforms.results	m_GR_un_04d_2.isoforms.results	m_GR_un_04d_3.isoforms.results	m_GR_in_07d_1.isoforms.results	m_GR_in_07d_2.isoforms.results	m_GR_in_07d_3.isoforms.results	m_GR_un_07d_1.isoforms.results	m_GR_un_07d_2.isoforms.results	m_GR_un_07d_3.isoforms.results	m_GR_in_10d_1.isoforms.results	m_GR_in_10d_2.isoforms.results	m_GR_in_10d_3.isoforms.results	m_GR_un_10d_1.isoforms.results	m_GR_un_10d_2.isoforms.results	m_GR_un_10d_3.isoforms.results	m_GR_in_15d_1.isoforms.results	m_GR_in_15d_2.isoforms.results	m_GR_in_15d_3.isoforms.results	m_GR_un_15d_1.isoforms.results	m_GR_un_15d_2.isoforms.results	m_GR_un_15d_3.isoforms.results	m_GR_in_20d_1.isoforms.results	m_GR_in_20d_2.isoforms.results	m_GR_in_20d_3.isoforms.results	m_GR_un_20d_1.isoforms.results	m_GR_un_20d_2.isoforms.results	m_GR_un_20d_3.isoforms.results	m_GR_in_25d_1.isoforms.results	m_GR_in_25d_2.isoforms.results	m_GR_in_25d_3.isoforms.results	m_GR_un_25d_1.isoforms.results	m_GR_un_25d_2.isoforms.results	m_GR_un_25d_3.isoforms.results
XM_041010691.1	0	21.01	5.14	10	12.49	5.6	0	0	0	0	0	5.76	18.7	0	9.98	0	10.21	0	0	0	0	24.7	6.13	6.16	4.53	0	22.71	0	3.76	9.92	0	18	0	24.3	24.14	23.1	0	9.08	0	49.64	41.25	8.14	0	0	0	0	0	6.21
XM_041010693.1	0	0	5	1	1	0	0	2	0	0	0	4	0	0	2	2	0	0	0	1	0	1	0	2	0	1	0	0	0	2	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	1	0	2
XM_041010704.1	2.01	9.68	12.66	0	2.41	6.1	3.18	0	4.06	3.63	0	3.42	0	0	9.11	4.79	0	2.21	5.19	0	0	0	11	0	0	7.37	18.54	0	5.29	2.88	0	10.14	10.89	0	0	0	0	0	0	3.1	13.95	1.6	0	11.12	3.04	4.53	0.72	0
XM_041010707.1	1	2	0	0	1	2	0	0	0	0	1	0	0	0	1	5.93	2.03	5.78	0	2	1	5	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041010724.1	0	5.67	0	0	17.39	0	6.38	0	3.47	0	0	3.92	0	0	0	16.08	8.69	0	0	15.94	25	0	0	0	0	0	0	4.8	0	0	8	0	0	8.56	0	0	9	0	0	0	26.28	0	1	0	0	0	0	0
XM_041010727.1	56	93.4	111.86	73.1	60.92	73.18	72.48	48	113.47	74	87	72	79.4	72.66	97.72	69.17	84.46	94.38	80	85	35	86.4	68	75.4	13	24	72.9	23	12.13	34	50	50	52	119.43	193	181	12.62	16.43	13.36	190.51	133	114.13	34	15	38	127.45	112.66	130
XM_041010744.1	29.01	43.38	37.54	13.18	17.96	20.74	0	2.09	6.56	8.21	8	10.95	23.29	6.41	24.47	15.59	19.9	13.29	41.3	25.9	14.35	25.12	36.55	43.4	8.89	15.08	45.85	38.66	66.26	63.65	221.54	92.89	147.49	35.27	18.77	55.47	20.31	13.38	24.05	24.18	29.66	22.27	36.59	60.25	45.51	11.08	8.51	12.39
XM_041010753.1	3.78	14.87	12.46	14.22	14.21	14.31	0	0	0	8.55	7.4	22.08	9.12	7.25	0	9.06	6.15	23.74	0	6.98	0	14.74	0	0	0	0	0	7.67	23.58	28.21	0	0	4.93	0	0	29.57	0	0	0	23.72	0	0	0	0	0	0	7.55	13.76
XM_041010759.1	459.52	624.72	618.86	641.6	456.82	481	150	206.83	270	243	380.9	333	165.72	120.41	227.65	169.69	172.79	204.49	163	126.57	38	271	253.77	247	48.62	56	144	28	58	65	18	1	33	281	508	384.63	11.22	16	36.69	199	417	186.71	12	11	14	185.08	185.55	181
XM_041010760.1	0	0	1	1	0	3	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1.01	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1.01	1	0	0	0	0	0
XM_041010773.1	4.9	33.84	49.23	33.45	30.65	31.25	3.96	10.9	24.74	18.58	13.16	3.29	19.13	11.04	16.69	5	21.42	15.82	41.96	39.55	24	30.03	22.06	59.27	23.84	14.54	55.83	25.9	29.31	69.29	8.41	0	17.72	7.58	0	6.36	13.59	22.54	10.49	43.94	23.78	19.15	4.92	9.37	15.43	3.69	25.06	16.84
XM_041010793.1	4.9	11.59	8.21	16.06	13.34	5.45	0	10.72	5.19	5.82	5.13	2.81	7.7	3.64	2.88	0	3.03	2.85	2.7	0	0	0	0	2.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18	0	0	0	1	0	0	3.71
XM_041010794.1	0	0	0	0	0	8.89	0	0	0	8.71	0	17.81	31.51	0	0	0	0	4.39	0	0	0	22.01	0	0	1	2	3	0	0	0	0	0	1	0	2.97	0	0	0	0	12.49	0	0	2	1	0	0	4.72	0
XM_041010804.1	0	0	16.33	33.87	0	0	0	0	15.25	0	15.31	0	27.97	0	0	0	0	0	0	0	0	0	0	13	35.59	13.9	127.75	51.24	43.62	0.03	25.01	0	0	24.87	0	71.8	0	0	0	28.31	0	33.98	28.17	11.19	47.08	15.39	0	0
XM_041010822.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	6	0	0	0	0	2	3	4	0	0	0	1	2	0
XM_041010834.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041010853.1	18.67	22.85	19.79	12.23	30.99	11.39	32.14	25.46	23.8	16.07	10.04	29.09	87.13	86.72	80.07	27.69	48.7	25.16	45.21	27.1	13.29	58.16	36.4	33.29	7.81	2.17	13.07	23.48	9.49	22.5	27.67	4.85	15.13	9.38	0	3.71	12	10.36	5.32	5.49	5.5	5.16	2.31	1.86	0	9.32	16.81	10.35
XM_041010883.1	5.57	0	0	0	0	5.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041010908.1	36.67	0	0	0	0	0	0	27.04	0	0	0	0	0	0	0	0	42.29	0	0	0	0	0	0	36.97	0	0	0	0	0	0	0	0	0	0	0	0	14.46	0	0	0	0	0	0	0	0	0	12.53	0
XM_041010913.1	0	0	0	0	4.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041010922.1	0	15.97	0	8	0	0	0	0	10.47	0	0	0	0	0	0	0	0	5.44	0	0	0	0	16.79	7.91	0	0	0	14.6	0	0	0	10.39	0	0	0	11.33	0	0	0	0	0	0	0	0	0	0	0	4.42
XM_041010959.1	1	3	2	2.01	0	2	0	0	0	2	0	1	0	0	0	1	5	1	0	0	19	2	0	2	0	24.62	0	1	0	4	0	102.68	0	7	0	0	0	0	0	46	0	0	0	0	0	0	17	0
XM_041010978.1	31.81	14.06	12.54	0	0	26.84	0	0	0	0	0	0	0	0	0	0	0	0	14.45	0	0	15.21	0	0	0	0	32.48	0	17.94	0	0	31.25	0	0	0	0	0	23.47	0	15.68	0	12.05	0	0	0	0	0	0
XM_041010980.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041010984.1	0	0	0	5.36	2.12	3.99	0	0	3.78	0	6.94	5.98	0	0	0	0	0	0	0	3.03	0	2.69	0	0	0	5.51	6.43	0	8.41	0	0	0	0	3.91	1.82	2.6	0	2.79	0	7.41	0	6.72	0	0	3.65	0	0	2.77
XM_041010989.1	30	34	31	36	17	23	10	9	24	12	26	22	11	6	10	7	8	6	8	17	3	5	6	9	2	3	11	0	6	10	6	4	0	0	3	5	8.22	8	11.2	0	2	4	1	3	10	8	10	6
XM_041010997.1	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
XM_041011026.1	25.9	0	0	0	0	0	0	0	0	0	0	9.09	54.47	0	0	12.86	23.08	21.42	30.45	50.6	11.05	0	0	12.33	45.39	144.54	498.38	11.35	0	110.02	178.46	54.86	193.51	0	0	0	340.26	495.07	439.9	174.66	40.71	107.4	88.58	93.04	92.86	0	88.37	24.71
XM_041011029.1	0	0	2.33	8.78	3.44	3.19	5	1.35	0	6.25	7	0	0	2.98	0	0	0	0	3.5	0	3.64	12.16	0	19	11.1	0	0	4	0.55	0	0	3	0	8	0	0	0	0	5.07	0.97	0	0.01	4	0	0	11.4	0.52	2.48
XM_041011035.1	2	3	2	2.08	3	1	0	0	2	0	1	0	1	3	6	3	0	0	0	0	0	0	1	1	0	0	0	1.02	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
XM_041011057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.48	0	0	0	0	0	0	0	14.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011061.1	11.09	0	0	9.1	0	15.59	0	0	0	0	0	0	0	0	0	0	6.41	0	0	8.8	4.95	0	0	0	0	0	0	0	0	0	0	0	4.37	0	20.83	0	0	0	0	7.8	0	0	3.68	0	0	0	0	0
XM_041011066.1	8.28	16.05	0	0	0	2.1	0	0	35.69	0	42.56	1.45	2.67	0	15.66	0	0	5.38	0	0	0	42.14	9.53	26.09	30.19	20.84	95.24	0.85	0	43.64	0	0	0	16.8	0	0	0	8	3.65	0	0	0.01	12.4	0	0	0	2.55	19.41
XM_041011082.1	38	53	115	69	73.91	138	29	105	102	51	60	61	228	171.92	319	147	169	169	174	157	75	220	210	211	35	54	112	236	344	314	78	52	95	14	14	28	1	7	6	13	9	5	4	6	12	50	70	55
XM_041011135.1	0	0	0	1	3	0	0	0	2	0	0	0	0	4	1	1	0	1	2	0	0	1	0	1	0	0	1	5	1	2	0	6	2	1	1	0	0	1	3	3	1	1	0	0	1.11	0	0	0
XM_041011144.1	0	0	0	18.44	9.16	0	0	7.91	0	0	0	0	0	0	0	15.36	0	3.93	0	0	0	0	4.53	5.28	0	0	7.47	0	0	0	0	0	0	5.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011172.1	340.93	447.82	438.96	355.33	310.82	370.39	102.42	140	201.28	167	252.74	212.21	178.62	209.35	296.38	209.77	214.3	199.21	228.87	235.47	69.18	260.56	255	217.63	269.4	298.58	778.94	234.87	339.83	297.5	339.51	193	266.47	197.48	377.56	345.56	71.05	90.87	163.33	233.94	267.53	189.1	265.95	289.46	296.55	178.75	168.06	165.6
XM_041011185.1	4	2	2	6	2	2	0	1	2	0	2	1	2	1	9	2	2	1.07	5	3	3	9	0	1	8	8	19	0	3	1	20	4	16	10	6	2	3.26	7.77	16.94	6	2	4	5	11.68	10	7	7	7
XM_041011191.1	3	0	7	0	2	2	1	1	0	0	1	0	5	0	3	1	0	1	0	0	1	2	0	1	0	0	0	2	1	1	1	0	1	4	1	1	0	0	0	6	4	4	0	0	0	2	3	7
XM_041011192.1	7.49	16.18	0	9.9	0	0	7.16	0	9.27	0	0	5.07	21.02	0	20.66	0	0	7.73	0	12.83	0	7.7	0	0	0	0	37.67	0	0	0	18.59	0	0	0	0	0	0	0	0	0	14.73	7.68	23.75	0	7.04	0	0	0
XM_041011206.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2	13.48	0	0	0	0	0	7.99	0	0	0	3.73	19.66	18.65	0	0	0	9.54	9.2	13.5	0	0	0
XM_041011209.1	0	0	0	29.34	0	0	0	3.3	0	13.11	5.23	2.48	3.44	9.97	15.89	0	0	3.52	16.33	9.37	0	9.87	4.23	28.73	6.66	0	5.03	9.43	21.18	36.26	12.21	0	9.69	4.74	4.18	0	0	11.1	4.3	0	0	0	13.33	13.38	10.91	3.8	9.33	0
XM_041011242.1	0	12.04	13.87	9.82	0	24.11	0	0	0	0	0	0	10.97	0	0	11.07	0	0	0	14.98	9	18.69	24.89	0	9.04	7.65	19.15	0	8.59	0	0	0	0	0	8.05	7.43	0	0	0	36.09	0	8.47	0	0	0	5.83	0	0
XM_041011252.1	0	0	22.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011262.1	0	19.56	10.71	0	22.7	32.12	0	0	3.69	0	0	0	0	0	4.61	0	0	0	0	0	11	6.66	0	5.76	0	0	23.96	0	4.36	0	2.54	0	0	14.08	1.99	0	0	0	0	5.22	0	0	0	0	0	16	0	0
XM_041011274.1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	1
XM_041011299.1	68.27	164.23	125.44	191.36	64.76	113.46	45.14	95.84	96.89	79.06	198.94	186.89	38.8	46.13	186.4	98.29	58.67	130.97	118.22	40.25	0	68.67	173.59	0	83.25	30.09	198.78	74.92	231.95	164.64	90.22	25.27	114.33	112.83	293.26	237.66	32.74	18.83	22.93	163.82	91.7	63.59	46.48	29.09	0	94.65	152.08	131.51
XM_041011310.1	18.77	0	22.05	8.56	0	6.07	0	0	0	0	0	0	0	0	0	8.45	0	0	9.22	6.76	5.84	13.35	0	0	0	0	21.68	0	0	0	8.8	9.25	7.23	4.23	0	5.19	0	7.59	0	0	0	0	0	0	0	0	0	0
XM_041011311.1	201.81	324.25	291.32	173.72	129.4	362.6	60.02	41.28	60.57	51.24	115.27	86.41	90.59	164.4	187.03	170	208.28	305.75	398.34	328.57	119.35	352.85	254.86	303.45	598.63	711.2	2090.9	152.1	229.33	182.78	759.16	503.34	704.56	173.54	194.99	261.42	170.58	313.57	410.22	0	225.6	66.72	447.38	246.96	428.5	151.39	122.95	148.03
XM_041011316.1	46	20.72	18.19	16.96	11.85	35.17	0	20.98	36.13	10.69	8.57	25.51	26.97	0	34.66	18.4	3.17	13.54	0	0	15	0	4.52	0	0	33.78	29.42	0	0	0	0	12	10.85	26.2	14.37	37.25	26.63	26.97	12.63	0	18.55	14.71	0	0	9.29	22.55	0	0
XM_041011323.1	7.75	23.31	18.73	13.22	10.81	9.68	21	19	48	27	29.99	30	21	18	24	12	18	26.62	9	8	6	16	10	8.79	12.91	22.74	57.53	14.65	30	22.7	19	16	8	2.81	4	26.44	7.86	4	0	4.31	10.32	5	7.71	11.78	10	9	7	6.77
XM_041011336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011342.1	29.41	46	47	32	20	30	7	12	13	10	9	14	15	13.91	19	15.5	21	24	19	24.65	9	11	0	8	48	55.43	147	2	2	4	30	27	18	11	25	1	10	8.61	27	6	9	8.71	15	8	17	6	8	9
XM_041011348.1	0	9	15	0	0	4.99	0	4	6	3	3	2	1	3	10	3	0	6	1	1	0	3	7	3	2	1	6	0	4	2	2	0	3	17	17	0.58	1	1	2	25	19	0	6	3	0	2	0	0
XM_041011359.1	17.64	59.99	0	25.18	21.13	0	0	36	0	5.36	0	0	0	59	17.34	57	0	0	11.46	0	0	10.37	0	20.77	0	0	46.61	0	0	43	34.4	0	17.08	36.79	12.82	34.31	0	0	0	39	5.87	0	0	0	4.96	8.34	0	0
XM_041011367.1	16.46	16.24	15.02	74.46	0	0	21.26	41.99	0	0	0	23.61	0	0	0	66.08	0	59.82	0	0	0	0	19.63	0	0	32.7	92.32	0	0	12.95	40.86	35.22	21.57	0	135.36	55.08	0	0	36.2	0	0	0	0	0	50.15	0	0	0
XM_041011379.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	5	0	0	62	0	0	0	0	29.15	224.67	0	5	0	20.31	0	0	0	0	0	0	0	33.03	1	0	0
XM_041011380.1	0	8	12.44	0	2.36	2	0	0	0	1.07	0	3	4	1.13	0	1.23	2	0	0	0	0	0	2	0	0	0	0	0	3	1.05	1	0	1	0	0	0	0	0	4.55	0	0	0	2.35	0	1.04	1	0	0
XM_041011388.1	45	64	73	48	46	43	4	24	18	11	20	32	13	17	33	17	28	23	10	8	2	24	10	24	1	1	6	2	17	10	0	0	0	16	31	13	0	0	0	28	31	38	1	3	0	15	15	23
XM_041011394.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011396.1	22.48	80.48	30.01	19.69	50.81	22.55	29	0	36.26	23.37	29.8	27.23	20.48	20.77	39.19	22.47	7.58	50.21	25.75	6.72	21.69	0	42.46	27.81	0	35.9	126.65	53.6	71.68	115.23	26.82	14.56	0	14.64	49.69	68.73	15.55	0	46	36.09	16.85	49	12.75	23.22	20.3	17.26	30.95	0
XM_041011401.1	1	3	5	0	3	4	0	0	1	2	1	0	2	1	0	2	0	1	2	5	0	4	1	0	3.02	3	15	0	2	1	13	17	28	0	0	6	4	12	6	2.12	7	4	10	13	22	3	1	3
XM_041011406.1	0	1.16	0	3.91	3	4.32	0	0	0	0	0	0	0	7.22	0	1.13	0.83	0	0	4	2.5	0	0	3.68	0	1.25	0	0.67	0	0	0	0	0	12	0	0	2	5	3.5	0	0	0	2.53	0	0	0	3.54	0
XM_041011409.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011417.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011430.1	13	23	22	20.16	8	19	4	10	19	12	22	14	6	5.18	21	7	11	11	18	15	10	6	9	0	210.53	65.25	398.15	7	4	6	0	0.01	69.98	25	0	26	37.55	110.19	160.19	13	10	13	38	22	42	20	12	32
XM_041011443.1	0	0	0	70.92	0	0	0	0	0	0	0	45.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.45
XM_041011445.1	0	0	7.99	0	0	0	0	21.95	0	0	0	29.56	0	0	14.38	0	0	24.79	0	0	14.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.72	0	0	0	19.14	16.5	0	0	0	0	0.13
XM_041011461.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
XM_041011481.1	9.05	3.22	0	2.85	3.02	2.94	5.25	7.17	0	2.85	3.32	3.05	9.19	13.58	3.29	0	7.23	0	0	13.72	3.3	0	16.25	8.85	0	0	5.5	5.8	5.69	5.99	3.09	0	0	21.66	0	4.19	0	3.59	3.13	6.18	2.58	0	0	0	0	0	5.43	5.45
XM_041011486.1	5.47	6.45	3.74	0	0	3.78	0	0	0	0	3.77	0	0	0	5.73	0	0	0	2.5	0	0	0	0	0	7.49	0	12.64	0	4.59	0	5.36	0	0	0	0	0	4	8.45	0	6.66	0	3.48	0	6.09	0	0	0	0
XM_041011487.1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	3	0	0	3	0	0	0	1	3	0	2	1
XM_041011488.1	0	0	0	0	0	0	479.74	504.28	668.6	326.25	350.37	533.54	499.33	0	294.81	345.37	495.89	563.66	0	0	0	0	0	0	0	0	0	0	0	0	179.29	92.42	169.02	644.82	1080.65	1003.47	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011496.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
XM_041011503.1	8	26	14	7	3	6	7	1	10	12	7	12	4	2	5	5	8	11	3	8	0	10	6	5	0	0	0	0	0	0	0	0	4	1	5	0	0	0	0	1	0	2	0	0	0	0	2	2
XM_041011506.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	0	0	0	5	11	6	0	0	0	3	3	7	0	0	0	14	8	5	0	0	0
XM_041011507.1	2	5	13	14	4	2	7	1	9	3	8	4	12	4	14	3	6	4	12	10	3	6	7	4	4	4	17	3	3	2	3	0	5	21	22	37	1	2	2	23	35	17	1	1	1	10	10	28
XM_041011514.1	0	0	0	0	1	0	0	1	0	0	1	3	0	2	2	0	0	0	5	0	2	2	1	2	8	0	0	0	0	0	50.7	3.71	52.27	0	0	5.01	14.98	9.16	20.73	25.19	32	11	10.08	16	22	0	4.89	0
XM_041011519.1	0	0	0	0	0	0	0	0	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	1.92	0	0	0	0	0	0	0	0	0	0	0	2.74	0	0	0	0	0	0	0	0	0	0	0	2.69	0
XM_041011521.1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	7	0	10	0	0	0	26.18	17	27.51	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0
XM_041011523.1	106	221.43	180.09	135.33	85.41	133.68	31.31	59.84	67.5	52.97	116.23	60.59	82.29	43.96	99.92	60.9	56.41	68.59	52.53	48.72	27.29	78.8	45.5	48.25	27.51	21.28	58.01	19.17	21.31	24.99	29.55	19.13	30.7	87.34	137.47	138.6	28.76	29.2	39.14	183.7	118.26	77.5	13.48	3.2	19.56	35.41	39.76	42.42
XM_041011571.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38	0	0	0	0	0	4.03	5.05	0	0	0	10.68	0	0	0	0	0	3.19	9.81	2.87	0	0	5.56	0	0	0	0	0	0	0	0	0	0
XM_041011575.1	0	0	0	9.53	3.51	5.63	0	0	0	2.63	15.46	8.71	26.12	0	13.92	0	0	3.72	2.85	7.22	0	0	4.87	9.85	0	5.94	23.07	0	0	15.06	0	0	0	0	0	5.92	0	0	0	0	0	0	0	0	15	0	4.94	0
XM_041011583.1	9.52	0	0	0	0	0	27.95	0	23.5	16.53	0	0	0.06	4.81	0	0	0	8.62	0	10.74	9.84	38.48	0	4.16	0	0	0	12.99	0	0	27.07	30.17	20.83	0.39	0	40.47	0	0	0	24.11	0	0	0	0	0	0	36.78	4.01
XM_041011604.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011608.1	0	13.92	9.3	3.93	3.24	3.9	0	4.92	3.33	2.34	3.26	8.26	7.85	8.21	3.08	0	0	6.94	0	0	3.7	3.89	0	0	0	0	12.57	4.28	4.38	6.26	9.21	0	0	0	23.38	0	0	0	0	11.07	4.47	3.6	0	0	3.19	0	7.69	0
XM_041011613.1	0	0	7.95	5.94	7.68	0	5.95	0	0	0	0	0	0	0	0	0	0	0	0	13.77	0	0	0	0	0	3.64	0	0	0	0	0	0	0	0	43.89	0	0	0	0	7.65	0	0	0	0	0	0	0	4.91
XM_041011628.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011629.1	41.32	59.6	49.52	44.66	25.28	63.96	14.53	12.94	25.76	18.43	19.07	30.81	16.33	11.48	25.87	17.23	20.02	34.95	42.91	27.11	13.96	32.81	61.56	28.63	38.63	42.54	175.1	18.9	24.81	28.6	117.22	114.2	146.75	42.98	70.24	88.93	32.64	21.05	39.76	40.39	31.3	22.13	62.38	48.07	83.76	13.66	24.21	27.12
XM_041011632.1	0	24.13	0	6.22	4.82	0	0	0	2.69	0	5.21	0	0	5.12	0	5.49	0	0	0	0	0	5.31	0	0	2.54	0	0	0	8.09	8.44	10.92	12.57	0	0	25.44	5.28	2.94	0	5.19	0	0	0	0	10.26	14.98	0	2.85	8.33
XM_041011654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.61	0	0	0	0	22.64	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011683.1	2	4	2	0	1	0	0	0	2	1	3	0	0	1	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
XM_041011685.1	55	81	68	59	58	49	15	18	51	16	22	19	5	12	12	11	10	12	10	13	4	4	8	8	24	23	79	16	40	22	12	3	22	136	185	257	38	61	33	587	333	254	1	2	9	21	24	25
XM_041011707.1	0	0	0	0	0	0	0	0	0	2	0	2.1	8	0	0	0	0	0	0	0	4.83	0	0	3.2	51.66	130.37	290.64	0	0	0	347.31	245.05	313.39	35	3.74	0	105.05	161.44	131.07	0	4.07	0	108.41	77.25	141.32	0	0	0
XM_041011733.1	1	0	2	1	0	0	1	0	2	1	2	1	2	0	1	3	2	1	0	3	0	3	2	2	5	2	2	1	0	1	1	2	1	3	7	5	0	0	0	10	3	3	0	0	0	6	2	3
XM_041011744.1	4	30	15	18	2	15	11	10	25	18	31	25	19	9	27	13	9	19	25	30	5	34	30	27	1	0	8	5	3	8	0	0	0	55	85	95	3	1	0	185	101	85	0	0	0	2	12	13
XM_041011763.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011773.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_041011778.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
